title,location,description
Impact Church & The Landing Community Center," Moon Township, Pennsylvania",<Element a at 0x31e716f278>
Lauri Ann West Community Center," O’Hara Township, Pennsylvania","The design focused on sustainable design in terms of its energy usage, durability of materials and maintenance costs. The bright colors of the building reflect the positive energy and myriad of activities for children and adults that occur year-long and throughout the building. The new home of the Lauri Ann West Community Center will provide an energy efficient easily maintained gathering place for the whole community."
Golden Triangle Construction," Imperial, Pennsylvania","RSSC designed the new office building as a separate structure from the maintenance shop. The workspaces in the new facility offer all employees access to views and daylight. The new campus has many sustainable features. Energy-efficient lighting and a geothermal heat pump are expected to reduce energy costs by more than 28% when compared to similar facilities. The installation of a water recycling system for the construction equipment cleaning machinery will reduce process water consumption by 95%. New landscaping will eliminate the need for irrigation and ultra-high efficiency water closets, urinals, faucets and showers will reduce potable water usage by more than 20%."
Monroeville Municipal Center/911 & Police Facility," Monroeville, Pennsylvania","Among several considered, the existing property proved to be the most favorable for new development. Our plans included a brand new municipal center with traditional and contemporary design aspects. During construction, it was essential that the Municipality of Monroeville conduct their important business and often life-saving responsibilities in their existing location, just twenty-five feet away from the construction area. With a thoughtful strategy and carefully planned building phases, we worked collaboratively with administrative officials of Monroeville, the contractor and community members to ensure that they could use their older building, uninterrupted, until it’s demolition after relocation of municipal operations to the newly-built Monroeville Municipal Center."
Clayton Community Youth Center," Allison Park, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
200 North Meadows Office Building," Wexford, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Baierl Kia," Wexford, Pennsylvania",<Element a at 0x31e71df4f8>
Camp Kon-O-Kwee Spencer," Fombell, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Three Rivers Rowing Association," Millvale, Pennsylvania",<Element a at 0x31e71ec598>
Holy Family Parish," Latrobe, Pennsylvania",<Element a at 0x31e71dfc28>
Peters Township Library," McMurray, Pennsylvania",The firm of Ross Schonder Sterzinger Cupcheck P.C. has been serving its clients since 1964. The scope of our general architectural practice varies widely from public facilities to private developments.
Holy Sepulcher Parish," Middlesex Township, Pennsylvania",<Element a at 0x31e71ec2c8>
Karndean Designflooring," Export, Pennsylvania","The Mid Atlantic Real Estate Journal featured our design for the innovative efforts to reduce the amount of energy required to heat, cool and light the interior of the building. By designing this new warehouse and on-site production facility with energy-efficiency features and daylighting, we have helped Karndean Designflooring reduce their operational costs, minimize their environmental impact and provide a healthy, comfortable working environment for their employees. The walls, roof, windows and doors were all designed to minimize the transfer of heat. The roof was also designed with a high Solar Reflectance Index (SRI) to reduce the heat load on the building. To minimize electric energy consumption, the new facilities feature light-diffusing, prismatic skylights coupled with dimmable LED light system that reduces the use of artificial lighting and improves color rendition in the production space."
The Firepit Wood Fired Grill," North Huntingdon Township, Pennsylvania","The new entry and addition provide an exciting new look for the building and give it a strong visual prominence in the existing shopping center. Renovations to the existing building provide a large, formal dining area, a private dining room and the wood-fired grill and kitchen. The exposed structure and sensitive use of materials give the bar & dining areas a unique and warm atmosphere."
Baierl Family YMCA – North Hills Branch," Franklin Park, Pennsylvania","Located on a 12-acre site in a residential area that borders a growing commercial district, the project was designed to minimize the visual impact of the building and its related outdoor recreational and parking areas on its neighbors. The two-story mass of the gymnasium is tucked into the hillside on the north side of the site, revealing a low-profile at the second floor level that allows clerestory lighting of the gym around the second-floor track. The other major components radiate outward from the gym, allowing maximum exposure to daylight and views. Low-sloped roofs help to mediate the scale of the elements around the central core of the main lobby."
